group,crop,annotator,organelle,mean,median,std
group3,04,g1,vesicle-lum,25.13655771932832,24.64911064067352,1.6793250696463402
group3,04,g1,vesicle,40.85134610722766,41.160040367601695,1.7797531366725468
group3,04,predictions,pm,17.86463363337056,16.97056274847714,6.7926921330891235
group3,04,predictions,vesicle-mem,nan,nan,nan
group3,04,predictions,vesicle-lum,nan,nan,nan
group3,04,predictions,vesicle,nan,nan,nan
group3,04,i1,pm,18.015530690798975,16.492422502470642,3.5182517204203045
group3,04,i1,vesicle-mem,9.502315861963593,8.94427190999916,1.1179265797557822
group3,04,i1,vesicle-lum,21.63832928968709,21.540659228538015,1.0564274155866689
group3,04,i1,vesicle,38.66695213733654,38.66695213733654,0.9310276091101244
group3,04,a1,pm,14.545074892407715,14.422205101855956,2.8166393746277
group3,04,a1,vesicle-mem,7.388367109037137,8.0,0.9515568164234749
group3,04,a1,vesicle-lum,16.06297745380869,16.97056274847714,3.1962555336019043
group3,04,a1,vesicle,29.37721437680034,30.331215082269317,2.3559932153858485
group3,04,refinements,pm,17.86720102436367,16.97056274847714,6.7906775431367015
group3,04,refinements,vesicle-mem,nan,nan,nan
group3,04,refinements,vesicle-lum,nan,nan,nan
group3,04,refinements,vesicle,nan,nan,nan
group3,05,gt,pm,17.709466210219468,17.435595774162696,4.144607267915637
group3,05,gt,vesicle-mem,8.711680337612258,8.94427190999916,1.3841446689167802
group3,05,gt,vesicle-lum,16.658360385922315,16.97056274847714,2.272816736870974
group3,05,gt,vesicle,nan,nan,nan
