group,crop,annotator,organelle,all mean,all std,all min_max normalized,all mean_std normalized,disagreement mean,disagreement std,disagreement min_max normalized,disagreement mean_std normalized
group6,05,refinements,hchrom,nan,nan,nan,nan,nan,nan,nan,nan
group6,05,gt,echrom,127.44639703477597,8.378509503501949,0.523954447437203,-0.8574475174739191,nan,nan,nan,nan
group6,05,predictions,echrom,nan,nan,nan,nan,nan,nan,nan,nan
group6,05,refinements,echrom,nan,nan,nan,nan,nan,nan,nan,nan
group6,05,gt,nucleoplasm,149.02817929684238,8.92449555840001,0.699416091844247,0.6113502134619022,nan,nan,nan,nan
group6,05,predictions,nucleoplasm,138.95932658899238,15.102697519608379,0.6175555007235153,-0.0739086697403163,131.6048285483892,14.326382743408397,0.5577628337267415,-0.5744359154996567
group6,05,refinements,nucleoplasm,138.91492486437474,15.092367560432498,0.6171945110924776,-0.07693053102943982,131.52892870972028,14.297217089490468,0.5571457618676445,-0.5796014532417025
group6,05,gt,er,142.06779780157984,8.781018290101631,0.6428276244030882,0.13764547385572906,nan,nan,nan,nan
group6,05,predictions,er,142.03435491611228,10.750931307248475,0.6425557310253031,0.1353694415200195,141.57227965995145,12.462272656882238,0.6387990216256215,0.10392184930871566
group6,05,refinements,er,142.65863421369605,10.47164463541081,0.6476311724690735,0.17785620209553155,142.4936081866934,11.791760017342293,0.6462894974527919,0.16662497702507514
group6,05,gt,vesicle,135.15521251850285,6.991250218491345,0.5866277440528687,-0.332806384818138,nan,nan,nan,nan
group6,05,predictions,vesicle,124.51086956521739,11.148693202049358,0.5000883704489218,-1.0572315776609196,124.51086956521739,11.148693202049358,0.5000883704489218,-1.0572315776609196
group6,05,refinements,vesicle,nan,nan,nan,nan,nan,nan,nan,nan
group6,05,gt,endo,nan,nan,nan,nan,nan,nan,nan,nan
group6,05,predictions,endo,143.35913653238003,9.300341257253114,0.6533263132713824,0.22553049533528774,143.35913653238003,9.300341257253114,0.6533263132713824,0.22553049533528774
group6,05,refinements,endo,143.11764705882354,8.762435552779204,0.6513629842180775,0.20909537489446509,143.11764705882354,8.762435552779204,0.6513629842180775,0.20909537489446509
group6,05,gt,np,142.51877759621738,9.163511381256376,0.6464941267985153,0.16833793896440483,nan,nan,nan,nan
group6,05,predictions,np,140.33176764775453,9.629543157234199,0.6287135581118255,0.019495956831983685,139.03565895859714,9.69082534015239,0.6181760890942857,-0.06871369511259592
group6,05,refinements,np,139.1616408934708,9.066404379507937,0.6192003324672423,-0.06013970535427163,137.58324611315155,8.677783563217034,0.6063678545784679,-0.1675609851958695
group6,05,gt,nucleus,138.72176881909434,14.783938210396853,0.6156241367406043,-0.0900762090637816,nan,nan,nan,nan
group6,05,predictions,nucleus,138.76353166632427,14.76755383259898,0.6159636720839371,-0.0872339426325906,145.3565070082113,9.412502128036387,0.6695650976277342,0.361466127856968
group6,05,refinements,nucleus,138.7337944282083,14.776402840841996,0.6157219059203928,-0.0892577786317975,143.9338380986111,9.37553765446254,0.6579986837285454,0.26464312960225095
group6,05,gt,ne,135.33437613479907,8.82347036777698,0.5880843588195046,-0.32061299365670987,nan,nan,nan,nan
group6,05,predictions,ne,135.89031966296147,9.402383946718915,0.5926042249021258,-0.28277698072794233,138.16904999791848,10.876912147307493,0.6111304877879551,-0.1276927571565475
group6,05,refinements,ne,135.9792363861211,9.17234744005856,0.5933271250904154,-0.27672554903276386,139.3413821672428,10.028438390327924,0.6206616436361204,-0.047907000387366644
group6,06,gt,mito-mem,224.13672768878718,2.1503883629747795,0.5219561271995578,-1.3091231201100135,224.38877898122715,2.1720391326271304,0.5306475510767982,-1.2236875971831624
group6,06,predictions,mito-mem,223.93196035706754,2.119673543087277,0.5148951847264669,-1.378531231032395,224.08218012450178,2.1509412849038703,0.5200751767069578,-1.327612609427824
group6,06,i1,mito-mem,224.07740095469507,2.139352647612939,0.5199103777481057,-1.3292325609370579,224.2567560074962,2.1623549584434922,0.5260950347412481,-1.2684382179392466
group6,06,d1,mito-mem,223.6960357810507,2.063147068292819,0.50675985451899,-1.458500428286536,223.89709165125328,2.145297117983287,0.5136928155604579,-1.3903503575529759
group6,06,refinements,mito-mem,223.7693488447245,2.0495259719313093,0.5092878911973967,-1.4336501691519519,223.89638723065934,2.0816659608950525,0.5136685251951497,-1.3905891285635132
group6,06,f1,mito-mem,225.07478172200624,2.580974041807959,0.5543028180002151,-0.9911595179959766,225.87334525258674,2.4842305679429297,0.5818394914685084,-0.7204777366609072
group6,06,gt,mito-lumen,227.02410984101957,2.2858718977584647,0.6215210290006747,-0.3304135817553129,225.4740568917104,1.7583967448724511,0.5680709273003588,-0.8558208629739759
group6,06,predictions,mito-lumen,226.49291039321736,2.217322473728778,0.6032038066626675,-0.5104694035767564,225.71661944662125,1.8988660318194301,0.5764351533317673,-0.7736016506832208
group6,06,i1,mito-lumen,226.8862422223619,2.397690978878985,0.6167669731848926,-0.37714530838394644,225.23879193228132,2.018240585407232,0.5599583424924591,-0.935566476022064
group6,06,d1,mito-lumen,225.4166462867857,2.562580834696291,0.5660912512684722,-0.8752808110099803,224.47276480554635,2.094177708736972,0.5335436139843568,-1.1952196899183651
group6,06,refinements,mito-lumen,226.55592680986476,2.2318869344568713,0.6053767865470606,-0.4891093047765126,225.70587002096437,1.8982136388575612,0.5760644834815299,-0.7772452852516799
group6,06,f1,mito-lumen,225.1671325878594,2.564578602659691,0.5574873306158419,-0.9598561890563214,224.30808008523766,2.0934186572868394,0.5278648305254366,-1.2510413643935536
group6,06,gt,er-mem,226.0485708434606,2.267021692536043,0.5878817532227791,-0.6610831196305693,226.468809437249,2.2488670953643237,0.602372739215483,-0.5186386843460007
